_id,id,name,address,latitude,longitude,about,phone,website,image[0],image[1],image[2],image[3],image[4],image[5],image[6],friday,monday,saturday,sunday,thursday,tuesday,wednesday,yelp,amenities,facebook,instagram,price,rating,tags,review,longtitude,image,facebook[0],facebook[1],facebook[2],facebook[3],facebook[4],facebook[5],facebook[6]
651cded4f721dadd5abf2237,catsbilliards,Cats Billiards," 143 S. LBJ Dr San Marcos, TX 78666",29.88141,-97.93956,"Eight-foot pool tables and free pool with purchase. Juke box, cold beer and good friends.",5123960888,https://www.visitsanmarcos.com/listing/cats-billiards/390/,https://i.imgur.com/2rrECxp.jpg,https://i.imgur.com/nDcOB97.png,https://i.imgur.com/PHl1hxL.jpg,https://i.imgur.com/WC9cQFF.png,https://i.imgur.com/5pH1BfX.png,https://i.imgur.com/q197BfB.png,,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,5:30 PM – 2:00 AM,2:00 PM – 2:00 AM,https://www.yelp.com/biz/cats-billards-san-marcos,"Accepts Credit Cards,Quiet,Good for Groups,Pool Table,Happy Hour Specials,Full Bar,TV,No Outdoor Seating,Not Good For Dancing,Bike Parking\n",,,$,4.2,"Bars,Pool Halls",202,,,,,,,,,
651e5014c7ff119bb2ec6dcc,,Patio Dolcetto,"322 Cheatham St, San Marcos, TX 78666",29.87682,,"Located in San Marcos and inspired by the beautiful river, Patio Dolcetto embodies the energy and class of the city with the laid back atmosphere of the Hill Country. Treat yourself to great wines, craft ciders, cocktails, martinis, craft beers and good food on the romantic patio. And trust us, you're going to want to save room for dessert! Enjoy dining and imbibing at Patio Dolcetto. ",5123663605,https://patiodolcetto.com/,https://i.imgur.com/u5W6rwg.jpg,https://i.imgur.com/IULQRj5.png,https://i.imgur.com/6UEK0dF.png,https://i.imgur.com/vtCdpiL.jpg,https://i.imgur.com/49UGL9h.jpg,https://i.imgur.com/t86NgVo.png,https://i.imgur.com/F8NNrvx.png,4:00 PM - 12:00 AM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM,12:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,https://www.yelp.com/biz/patio-dolcetto-san-marcos,"Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options,Accepts Credit Cards,Not Accepts Apple Pay,Not Accepts Cryptocurrency,Outdoor Seating,Romantic, Intimate, Classy, Casual,Quiet,Casual Dress,Good for Groups,Good for Dinner,Street Parking, Private Lot Parking,Waiter Service,Free Wi-Fi,Best nights on Saturday,Happy Hour Specials,Beer & Wine Only,Smoking Outside Only,Wheelchair Accessible,Gender-neutral restrooms,Heated Outdoor Seating,Covered Outdoor Seating,Not Good For Kids,Not Good For Dancing,No Drive-Thru,Dogs Not Allowed,No TV,Bike Parking,Compostable containers available",,https://www.instagram.com/patiodolcetto/,$$,4.7,"Wine Bars,Pizza,Tapas,Small Plates",456,-97.93679,,,,,,,,
651cdf34f721dadd5abf2239,cheathamstreet,Cheatham Street Warehouse,"119 Cheatham Street San Marcos, TX 78666",29.87678,-97.93979,"There are very few music venues that have as much musical reverence and historical charm as Cheatham Street Warehouse. The place where George Strait, Randy Rogers, Stevie Ray Vaughan, Shelley King, John Arthur Martinez, Todd Snider, Slaid Cleaves, Terri Hendrix and many more honed their skills – Cheatham Street Warehouse is a music-lovers paradise. ",5123533777,https://cheathamstreet.com/,https://i.imgur.com/ALCrPUA.jpg,https://i.imgur.com/zI3IKor.jpg,https://i.imgur.com/iY3ZBHa.jpg,https://i.imgur.com/AxJ1oqi.png,https://i.imgur.com/ZzJfLda.jpg,https://i.imgur.com/qlETxbM.jpg,,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,CLOSED,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,https://www.yelp.com/biz/cheatham-street-warehouse-san-marcos-2,"Accepts Credit Cards,Divey,Casual,Loud,Good for Groups,Good For Dancing,Live Music,Beer & Wine Only,TV,No Outdoor Seating,Not Good For Kids,Bike Parking,Street Parking,Private Lot Parking",https://www.facebook.com/CheathamStreet/,https://www.instagram.com/CheathamStreet/,$,4.5,Music Venues,273,,,,,,,,,
651cdf95f721dadd5abf223f,blackrabbit,Black Rabbit Saloon,"127 E. Hopkins St. San Marcos, TX 78666",29.88338,-97.9408,"The latest and greatest addition to the San Marcos nightlife scene! Enjoy cold beer on draft, a great selection of bottled beer, or partake in one of our specialty cocktails. Offering San Marcos' only 'big kids' game room, you can roll Skeeball, throw darts, play pool, or be challenged at any of our numerous video games! Come drink, come play. ",8666206667,https://www.facebook.com/BlackRabbitSaloon/,https://i.imgur.com/nBimlAT.jpg,https://i.imgur.com/Nl1HiVJ.jpg,https://i.imgur.com/xsrwuOK.jpg,https://i.imgur.com/RSGD1rP.jpg,https://i.imgur.com/zQ6s6ry.jpg,https://i.imgur.com/G7xY4oi.jpg,https://i.imgur.com/PXbaJj8.jpg,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,https://www.yelp.com/biz/black-rabbit-saloon-san-marcos,"No Reservations,Accepts Credit Cards,Not Accepts Apple Pay,Casual,Very Loud,Good for Groups,Pool Table,Full Bar,TV,No Outdoor Seating,No Wi-Fi,No Smoking,Bike Parking",5:00 PM – 2:00 AM,https://www.instagram.com/blackrabbitsaloon/,$$,4.1,Bars,141,,,,,,,,,
651f38bd1f8d452578e363a3,redbus,Red Bus Food Truck Park,"801 Chestnut St San Marcos, TX 78666",29.89227,-97.94198,Red Bus Food Park is home to the only 40-foot bus that is heated and cooled for dining with food trucks surrounding it. Opt for outside dining under the shade of the trees on the lot. Get a sweet dessert from the bakeshop on site.,5125371902,https://redbusfoodpark.com,https://i.imgur.com/wVzNMiK.jpg,https://i.imgur.com/ToVLzo1.jpg,https://i.imgur.com/ZTeSIMT.jpg,https://i.imgur.com/xIePMTF.jpg,https://i.imgur.com/jQC4rJc.jpg,https://i.imgur.com/QJm4G1f.jpg,,7:00 AM - 12:30 AM,8:00 AM - 7:00 PM,7:00 AM - 12:30 AM,CLOSED,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,https://www.yelp.com/biz/red-bus-food-park-and-bar-san-marcos,"Offers Delivery,Offers Takeout,Pescatarian Options,Vegan Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Outdoor Seating,Good For Kids,Street Parking, Private Lot Parking,Free Wi-Fi,Live Music,Beer & Wine Only,Smoking Outside Only,Dogs Allowed,Wheelchair Accessible,TV,Latinx-owned,Women-owned,Open to All,No Happy Hour,Bike Parking",https://www.facebook.com/RedBusFoodParkandBar/,https://www.instagram.com/redbusfoodparkandbar/,$,4.8,"Bars,Food Truck,Karaoke",21,,,,,,,,,
651f3a391f8d452578e363af,wakethedead,Wake The Dead Coffee House,"1432 Ranch Road 12 San Marcos, TX 78666",29.89165,-97.95669,This funky Tim Burton-esque serves breakfast and lunch. Choose from a variety of over 55 imported and domestic beers. Monthly exhibits showcase local artists. Monday - Sunday: 7am - 12am,5127549253,https://wakethedeadcoffeehouse.squarespace.com,https://i.imgur.com/bybL3SG.jpg,https://i.imgur.com/0pC126S.jpg,https://i.imgur.com/qEmfoai.png,https://i.imgur.com/YzZvlww.png,https://i.imgur.com/5SEe76G.jpg,https://i.imgur.com/prWSr3t.jpg,https://i.imgur.com/e7G3M7s.jpg,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,https://www.yelp.com/biz/wake-the-dead-coffee-house-san-marcos,"Offers Takeout,Vegan Options,Accepts Credit Cards,Outdoor Seating,Moderate Noise,Good for Working,Street Parking,Private Lot Parking,Free Wi-Fi,Dogs Allowed,Gender-neutral restrooms,Offers Catering,Bike Parking",https://www.facebook.com/wakethedeadcoffeehouse/,https://www.instagram.com/wakethedeadcoffeehouse/,$,4.6,"Coffee & Tea,Desserts",815,,,,,,,,,
651cdfb3f721dadd5abf2240,axis,Axis,"202 N LBJ Suite A San Marcos, TX 78666",29.88346,-97.93997,"Axis is San Marcos' premier underground bar. Located right in downtown San Marcos at the heart of the square we feature karaoke, late night food, live entertainment, piano bar, and private events. Axis also has a courtyard for soaking up the lively San Marcos atmosphere.",5123923031,https://axisbarsmtx.com/,https://i.imgur.com/8ULg8qp.png,https://i.imgur.com/qE42tEZ.jpg,https://i.imgur.com/Xk9T8xl.png,https://i.imgur.com/M4G99R4.jpg,https://i.imgur.com/tzQjqEV.jpg,,,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,https://www.yelp.com/biz/axis-san-marcos,"Accepts Credit Cards,Outdoor Seating,Trendy,Street Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,Smoking Outside Only,Dogs Allowed,Wheelchair Accessible,TV,Bike Parking",https://www.facebook.com/axis78666/,https://www.instagram.com/axis78666/,$,3.8,"Bars,Karaoke",61,,,,,,,,,
651cdf51f721dadd5abf223a,chimys,Chimy's Cerveceria,"217 E. Hopkins St. San Marcos, TX 78666",29.88354,-97.93942,"Just blocks from the river this watering hole is the perfect destination after tubing all day and the ideal place to grab some Tex-Mex and margaritas before you hit the square for a night out with friends! Head on over to Chimy's for a margarita the size of your head and a giant platter of nachos. Or a burger, or tacos, or maybe a chimychanga - whatever is calling your name...",5122166175,http://chimys.com,https://i.imgur.com/n6sUziw.jpg,https://i.imgur.com/sCMrXnX.png,https://i.imgur.com/91mNTl8.jpg,https://i.imgur.com/1wx3jF7.jpg,https://i.imgur.com/20v9ei2.jpg,https://i.imgur.com/YggRFJ9.png,https://i.imgur.com/IQF3sxN.jpg,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,12:00 PM – 10:00 PM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,https://www.yelp.com/biz/chimys-cerveceria-san-marcos,"Offers Delivery,Offers Takeout,No Reservations,Many Vegetarian Options,Accepts Credit Cards,Outdoor Seating,Casual, Trendy,Loud,Offers Catering,Good for Groups,Good for Lunch, Dinner, Late Night,Street Parking,Happy Hour Specials,Full Bar,TV,Not Good For Kids,No Wi-Fi,Bike Parking",https://www.facebook.com/profile.php?id=189990151035383,https://www.instagram.com/chimyssanmarcos/,$,4.1,"Meixcan,Burgers,Tex-Mex",360,,,,,,,,,
651e4b8667944ee39d43c71e,,Zelicks Icehouse,"336 W Hopkins St, San Marcos, TX 78666",29.8828375,-97.945398,"Rough 'n' ready roadhouse bar set in a 1930s gas station with TVs, games, a pool table & a patio. In May 2011, Zelicks was opened by brothers' Chase and Seth Katz, as a place that would attract diverse clientele to its friendly atmosphere, making it the perfect place to make new friends or catch up with old ones.",5127578787,http://www.zelickssmtx.com/,https://i.imgur.com/ikuh0yR.jpg,https://i.imgur.com/u56m28p.png,https://i.imgur.com/j0ZgbZg.jpg,https://i.imgur.com/gQkSDOS.jpg,https://i.imgur.com/sLVnmxh.png,https://i.imgur.com/k4YtjnJ.png,,12:00 PM  - 2:00 AM,3:00 PM  - 2:00 AM,12:00 PM  - 2:00 AM,12:00 PM  - 2:00 AM,12:00 PM  - 2:00 AM,3:00 PM  - 2:00 AM,3:00 PM  - 2:00 AM,https://www.yelp.com/biz/zelicks-san-marcos,"No Reservations,Accepts Credit Cards,Not Accepts Android Pay,Not Accepts Apple Pay,Not Accepts Cryptocurrency,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Pool Table,Private Lot Parking,Free Wi-Fi,Best nights on Tuesday, Friday, Saturday,Happy Hour Specials,Full Bar,Smoking Outside Only,Dogs Allowed,Wheelchair Accessible,TV,Open to All,Heated Outdoor Seating,Covered Outdoor Seating,Not Good For Dancing,Bike Parking",https://www.facebook.com/Zelicks/,https://www.instagram.com/zelicks/,Bars,4.6,$$,755,,,,,,,,,
651f37c51f8d452578e3639d,middletonbrewing,Middleton Brewing,"101 Oakwood Loop San Marcos, TX 78666",29.93049,-98.07176,"Four legs or two, everyone feels right at home at Middleton Brewing! We suggest getting a glass of anything that strikes your fancy and then head to the rooftop for beautiful Hill Country views. The laid-back atmosphere at Middleton really hits the spot after a long day of exploring. ",5128473435,http://www.middletonbrewingtx.com,https://i.imgur.com/aYIhEvB.jpg,https://i.imgur.com/Wp1f1Bh.jpg,https://i.imgur.com/ShOiC4w.png,https://i.imgur.com/iorzBt2.jpg,https://i.imgur.com/tisVLih.jpg,https://i.imgur.com/lWMCe80.jpg,https://i.imgur.com/Qt9zh6S.jpg,12:00 PM - 10:00 PM,2:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,2:00 PM - 10:00 PM,CLOSED,2:00 PM - 10:00 PM,https://www.yelp.com/biz/middleton-brewing-san-marcos-3,"No Reservations,No Takeout,Many Vegetarian Options,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Private Lot Parking,Free Wi-Fi,Live Music,Beer & Wine Only,Smoking Outside Only,Offers Catering,Not Good For Dancing,No Pool Table,No TV,Bike Parking",https://www.facebook.com/middletonbrewingsmtx/,https://www.instagram.com/middletonbrewing/,$$,4.7,"Breweries,Pubs",331,,,,,,,,,
651f38941f8d452578e363a2,railyardbarngrill,Railyard Bar And Grill,"116 S. Edward Gary St. San Marcos, TX 78666",29.88137,-97.939,"Railyard Bar and Grill is a great place for the whole family to hang out, play and enjoy some good food. Get a drink from the full bar, relax and listen to live music and explore the spacious outdoor area with games for the whole crew.",5123927555,https://railyardbarandgrill.com,https://i.imgur.com/502ItF5.jpg,https://i.imgur.com/Er9tTLZ.jpg,https://i.imgur.com/UuEWN08.jpg,https://i.imgur.com/iQdK9n3.jpg,https://i.imgur.com/NNAwVnc.jpg,https://i.imgur.com/yTK9HSJ.jpg,https://i.imgur.com/ws8oqG5.jpg,12:00 PM - 2:00 AM,4:00 PM - 12:00 AM,12:00 PM - 2:00 AM,12:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,https://www.yelp.com/biz/railyard-bar-and-grill-san-marcos,"Offers Takeout,No Reservations,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Good For Kids,Good for Lunch, Dinner,Pool Table,Private Lot Parking,Waiter Service,Free Wi-Fi,Live Music,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Happy Hour Specials,Full Bar,Smoking Outside Only,TV,Offers Catering,Not Good For Dancing,No Drive-Thru,Bike Parking",https://www.facebook.com/profile.php?id=227801880609841,https://www.instagram.com/railyardsmtx/,$$,4.1,"American (Traditional),Mexican,Sports Bars,Bars,Grills",689,,,,,,,,,
651f3a0b1f8d452578e363ad,veranda,The Veranda Roof Top Patio,"139 E. Hopkins San Marcos, TX 78666",29.8834,-97.94053,Enjoy the best view of Downtown San Marcos at Veranda! 360 degrees views of San Marcos from the top of Harper's Public House.,5128782448,https://www.facebook.com/HarpersVerandaSMTX/,https://i.imgur.com/FFi8U1r.png,https://i.imgur.com/wdfhhEr.jpg,,,,,,1:30 PM – 12:00 AM,5:00 PM – 12:00 AM,12:30 PM -  2:00 AM,12:30 PM -  12:00 AM,3:00 PM – 12:00 AM,3:00 PM – 12:00 AM,3:00 PM – 12:00 AM,https://www.yelp.com/biz/the-veranda-san-marcos,"No Reservations,Accepts Credit Cards,Outdoor Seating,Loud,Good for Groups,Pool Table,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Full Bar,TV,Bike Parking",https://www.facebook.com/HarpersVerandaSMTX/,https://www.instagram.com/harpers.veranda.snappaheads/,$,3.5,"Lounges,Bars",46,,,,,,,,,
651cdf61f721dadd5abf223b,codys,Cody's Restaurant Bar & Patio,"690 Centerpoint Road #209 San Marcos, TX 78666",29.82858,-97.98707,"Cody's provides a relaxing and cozy atmosphere, great music and a fresh full menu with specialty drinks, wine and beer. Relax on the patio and watch the hill country sunset. We take pride in not only the presentation and quality of our cuisine, but also the first-class service that comes along with it. ",5123932867,https://www.codyssmtx.com/,https://i.imgur.com/9yUHeXv.jpg,https://i.imgur.com/MQg92FW.png,https://i.imgur.com/kZZkCL8.png,https://i.imgur.com/wrMQVjl.png,https://i.imgur.com/3LvZ86q.png,https://i.imgur.com/mxReCtP.jpg,https://i.imgur.com/hbzmAuX.png,11:30 AM - 10:00 PM,CLOSED,11:30 AM - 10:00 PM,CLOSED,11:30 AM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,https://www.yelp.com/biz/codys-restaurant-bar-and-patio-san-marcos-3,"Accepts Android Pay,Accepts Apple Pay,Accepts Credit Cards,Best nights on Thursday, Friday, Saturday,Casual Dress,Covered Outdoor Seating,Dogs Not Allowed,Free Wi-Fi,Full Bar,Good For Kids,Good for Groups,Good for Lunch, Dinner,Happy Hour Specials,Heated Outdoor Seating,Intimate,Moderate Noise,Many Vegetarian Options,No Bike Parking,No Delivery,No Drive-Thru,No Pool Table,No Reservations,Offers Catering,Offers Takeout,Private Dining,Private Lot Parking,Smoking Outside Only,Takes Reservations,TV,Vegan Options,Waiter Service,Wheelchair Accessible",https://www.facebook.com/CodysSMTX/,https://www.instagram.com/codyssmtx/,$$$,4.6,"Lounges,American (New),Cocktail Bars",703,,,,,,,,,
651f36481f8d452578e36394,idontknowbar,I Don't Know Bar,"650 E. Hopkins St San Marcos, TX 78666",29.88491,-97.92496,"Pool, darts and lots of TV's with all the sports channels. I Don't Know Bar is open early and closes late. Monday-Friday 1pm-2am Saturday-Sunday 12pm-2am",5123961964,https://www.facebook.com/p/I-Dont-Know-Bar-100057188511171/,https://i.imgur.com/f8YorJc.png,https://i.imgur.com/8n1vXM4.png,https://i.imgur.com/8AccL5R.png,,,,,11:30 AM - 1:30 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,https://www.yelp.com/biz/i-dont-know-bar-san-marcos,"No Reservations,Accepts Credit Cards,Very Loud,Good For Dancing,Pool Table,Private Lot Parking,Paid Wi-Fi,DJ,Full Bar,Smoking Outside Only,TV,No Outdoor Seating,Not Good For Groups,No Bike Parking",https://www.facebook.com/p/I-Dont-Know-Bar-100057188511171/,,$,3.9,"Dive Bars,Poll Halls",239,,,,,,,,,
